# Seeders Kecamatan
kode	kecamatan
3603020	TIGARAKSA
3603051	KELAPA DUA
3603160	MAUK
3603200	TELUKNAGA
3603040	PANONGAN
3603060	LEGOK
3603141	GUNUNG KALER
3603170	RAJEG
3603010	CISOKA
3603081	CISAUK
3603132	SUKAMULYA
3603140	KRESEK
3603151	MEKAR BARU
3603130	BALARAJA
3603131	JAYANTI
3603210	KOSAMBI
3603011	SOLEAR
3603021	JAMBE
3603070	PAGEDANGAN
3603162	SUKADIRI
3603180	SEPATAN
3603030	CIKUPA
3603050	CURUG
3603120	PASARKEMIS
3603150	KRONJO
3603161	KEMIRI
3603181	SEPATAN TIMUR
3603190	PAKUHAJI
3603121	SINDANG JAYA


# Seders Desa
full_code_kecamatan	full_code_desa	desa_nama
3603021	3603021001	MEKARSARI
3603021	3603021002	DARU
3603021	3603021003	SUKA MANAH
3603021	3603021004	TABAN
3603021	3603021005	ANCOL PASIR
3603021	3603021006	RANCABUAYA
3603021	3603021007	TIPARRAYA
3603021	3603021008	JAMBE
3603021	3603021009	KUTRUK
3603021	3603021010	PASIR BARAT
3603070	3603070001	KARANG TENGAH
3603070	3603070002	MALANG NENGAH
3603070	3603070003	JATAKE
3603070	3603070004	KADU SIRUNG
3603070	3603070005	SITU GADUNG
3603070	3603070006	PAGEDANGAN
3603070	3603070007	CICALENGKA
3603070	3603070008	LENGKONG KULON
3603070	3603070009	CIJANTRA
3603070	3603070010	MEDANG
3603070	3603070012	CIHUNI
3603162	3603162001	BUARAN JATI
3603162	3603162002	GINTUNG
3603162	3603162003	KOSAMBI
3603162	3603162004	MEKAR KONDANG
3603162	3603162005	PEKAYON
3603162	3603162006	SUKADIRI
3603162	3603162007	RAWA KIDANG
3603162	3603162008	KARANG SERANG
3603180	3603180001	MEKAR JAYA
3603180	3603180002	KARET
3603180	3603180007	PONDOK JAYA
3603180	3603180008	SEPATAN
3603180	3603180009	PISANGAN JAYA
3603180	3603180010	SARAKAN
3603180	3603180011	KAYU BONGKOK
3603180	3603180012	KAYU AGUNG
3603030	3603030001	BUDI MULYA
3603030	3603030002	BOJONG
3603030	3603030003	SUKA MULYA
3603030	3603030004	CIKUPA
3603030	3603030005	DUKUH
3603030	3603030006	BITUNG JAYA
3603030	3603030007	BUNDER
3603030	3603030008	SUKA DAMAI
3603030	3603030009	PASIR JAYA
3603030	3603030010	PASIR GADUNG
3603030	3603030011	TALAGA SARI
3603030	3603030012	TALAGA
3603030	3603030013	SUKA NAGARA
3603030	3603030014	CIBADAK
3603050	3603050001	CURUG KULON
3603050	3603050002	CURUG WETAN
3603050	3603050003	SUKA BAKTI
3603050	3603050004	CUKANG GALIH
3603050	3603050005	KADU JAYA
3603050	3603050006	KADU
3603050	3603050007	BINONG
3603120	3603120004	SUKAASIH
3603120	3603120005	PASAR KEMIS
3603120	3603120006	SUKAMANTRI
3603120	3603120007	KUTA JAYA
